date,day_of_week,month,is_weekend,is_holiday,admissions,season
2023-01-01,6,1,1,1,95,1
2023-01-02,0,1,0,0,72,1
2023-01-03,1,1,0,0,68,1
2023-01-04,2,1,0,0,74,1
2023-01-05,3,1,0,0,71,1
2023-01-06,4,1,0,0,69,1
2023-01-07,5,1,1,0,88,1
2023-01-08,6,1,1,0,90,1
2023-01-09,0,1,0,0,73,1
2023-01-10,1,1,0,0,67,1
2023-01-11,2,1,0,0,75,1
2023-01-12,3,1,0,0,70,1
2023-01-13,4,1,0,0,68,1
2023-01-14,5,1,1,0,85,1
2023-01-15,6,1,1,0,92,1
2023-01-16,0,1,0,0,76,1
2023-01-17,1,1,0,0,69,1
2023-01-18,2,1,0,0,71,1
2023-01-19,3,1,0,0,73,1
2023-01-20,4,1,0,0,70,1
2023-01-21,5,1,1,0,87,1
2023-01-22,6,1,1,0,91,1
2023-01-23,0,1,0,0,74,1
2023-01-24,1,1,0,0,68,1
2023-01-25,2,1,0,0,72,1
2023-01-26,3,1,0,0,69,1
2023-01-27,4,1,0,0,71,1
2023-01-28,5,1,1,0,86,1
2023-01-29,6,1,1,0,89,1
2023-01-30,0,1,0,0,75,1
2023-01-31,1,1,0,0,70,1
2023-02-01,2,2,0,0,65,1
2023-02-02,3,2,0,0,63,1
2023-02-03,4,2,0,0,67,1
2023-02-04,5,2,1,0,82,1
2023-02-05,6,2,1,0,85,1
2023-02-06,0,2,0,0,66,1
2023-02-07,1,2,0,0,64,1
2023-02-08,2,2,0,0,68,1
2023-02-09,3,2,0,0,65,1
2023-02-10,4,2,0,0,63,1
2023-02-11,5,2,1,0,80,1
2023-02-12,6,2,1,0,84,1
2023-02-13,0,2,0,0,67,1
2023-02-14,1,2,0,0,65,1
2023-02-15,2,2,0,0,69,1
2023-02-16,3,2,0,0,66,1
2023-02-17,4,2,0,0,64,1
2023-02-18,5,2,1,0,81,1
2023-02-19,6,2,1,0,83,1
2023-02-20,0,2,0,0,68,1
2023-02-21,1,2,0,0,66,1
2023-02-22,2,2,0,0,70,1
2023-02-23,3,2,0,0,67,1
2023-02-24,4,2,0,0,65,1
2023-02-25,5,2,1,0,82,1
2023-02-26,6,2,1,0,86,1
2023-02-27,0,2,0,0,69,1
2023-02-28,1,2,0,0,64,1
2023-03-01,2,3,0,0,70,2
2023-03-02,3,3,0,0,73,2
2023-03-03,4,3,0,0,72,2
2023-03-04,5,3,1,0,88,2
2023-03-05,6,3,1,0,91,2
2023-03-06,0,3,0,0,74,2
2023-03-07,1,3,0,0,71,2
2023-03-08,2,3,0,0,75,2
2023-03-09,3,3,0,0,73,2
2023-03-10,4,3,0,0,70,2
2023-03-11,5,3,1,0,87,2
2023-03-12,6,3,1,0,90,2
2023-03-13,0,3,0,0,75,2
2023-03-14,1,3,0,0,72,2
2023-03-15,2,3,0,0,76,2
2023-03-16,3,3,0,0,73,2
2023-03-17,4,3,0,0,71,2
2023-03-18,5,3,1,0,86,2
2023-03-19,6,3,1,0,89,2
2023-03-20,0,3,0,0,74,2
2023-03-21,1,3,0,0,72,2
2023-03-22,2,3,0,0,76,2
2023-03-23,3,3,0,0,74,2
2023-03-24,4,3,0,0,71,2
2023-03-25,5,3,1,0,88,2
2023-03-26,6,3,1,0,92,2
2023-03-27,0,3,0,0,75,2
2023-03-28,1,3,0,0,73,2
2023-03-29,2,3,0,0,77,2
2023-03-30,3,3,0,0,74,2
2023-03-31,4,3,0,0,72,2
2023-04-01,5,4,1,0,89,2
2023-04-02,6,4,1,0,93,2
2023-04-03,0,4,0,0,76,2
2023-04-04,1,4,0,0,74,2
2023-04-05,2,4,0,0,78,2
2023-04-06,3,4,0,0,75,2
2023-04-07,4,4,0,0,73,2
2023-04-08,5,4,1,0,90,2
2023-04-09,6,4,1,0,94,2
2023-04-10,0,4,0,0,77,2
2023-04-11,1,4,0,0,75,2
2023-04-12,2,4,0,0,79,2
2023-04-13,3,4,0,0,76,2
2023-04-14,4,4,0,0,74,2
2023-04-15,5,4,1,0,91,2
2023-04-16,6,4,1,0,95,2
2023-04-17,0,4,0,0,78,2
2023-04-18,1,4,0,0,76,2
2023-04-19,2,4,0,0,80,2
2023-04-20,3,4,0,0,77,2
2023-04-21,4,4,0,0,75,2
2023-04-22,5,4,1,0,90,2
2023-04-23,6,4,1,0,94,2
2023-04-24,0,4,0,0,79,2
2023-04-25,1,4,0,0,77,2
2023-04-26,2,4,0,0,81,2
2023-04-27,3,4,0,0,78,2
2023-04-28,4,4,0,0,76,2
2023-04-29,5,4,1,0,92,2
2023-04-30,6,4,1,0,96,2
2023-05-01,0,5,0,0,82,2
2023-05-02,1,5,0,0,80,2
2023-05-03,2,5,0,0,84,2
2023-05-04,3,5,0,0,81,2
2023-05-05,4,5,0,0,79,2
2023-05-06,5,5,1,0,95,2
2023-05-07,6,5,1,0,99,2
2023-05-08,0,5,0,0,83,2
2023-05-09,1,5,0,0,81,2
2023-05-10,2,5,0,0,85,2
2023-05-11,3,5,0,0,82,2
2023-05-12,4,5,0,0,80,2
2023-05-13,5,5,1,0,96,2
2023-05-14,6,5,1,0,100,2
2023-05-15,0,5,0,0,84,2
2023-05-16,1,5,0,0,82,2
2023-05-17,2,5,0,0,86,2
2023-05-18,3,5,0,0,83,2
2023-05-19,4,5,0,0,81,2
2023-05-20,5,5,1,0,97,2
2023-05-21,6,5,1,0,101,2
2023-05-22,0,5,0,0,85,2
2023-05-23,1,5,0,0,83,2
2023-05-24,2,5,0,0,87,2
2023-05-25,3,5,0,0,84,2
2023-05-26,4,5,0,0,82,2
2023-05-27,5,5,1,0,98,2
2023-05-28,6,5,1,0,102,2
2023-05-29,0,5,0,0,86,2
2023-05-30,1,5,0,0,84,2
2023-05-31,2,5,0,0,88,2
2023-06-01,3,6,0,0,90,3
2023-06-02,4,6,0,0,88,3
2023-06-03,5,6,1,0,105,3
2023-06-04,6,6,1,0,108,3
2023-06-05,0,6,0,0,92,3
2023-06-06,1,6,0,0,89,3
2023-06-07,2,6,0,0,93,3
2023-06-08,3,6,0,0,91,3
2023-06-09,4,6,0,0,89,3
2023-06-10,5,6,1,0,106,3
2023-06-11,6,6,1,0,110,3
2023-06-12,0,6,0,0,93,3
2023-06-13,1,6,0,0,91,3
2023-06-14,2,6,0,0,95,3
2023-06-15,3,6,0,0,92,3
2023-06-16,4,6,0,0,90,3
2023-06-17,5,6,1,0,107,3
2023-06-18,6,6,1,0,111,3
2023-06-19,0,6,0,0,94,3
2023-06-20,1,6,0,0,92,3
2023-06-21,2,6,0,0,96,3
2023-06-22,3,6,0,0,93,3
2023-06-23,4,6,0,0,91,3
2023-06-24,5,6,1,0,108,3
2023-06-25,6,6,1,0,112,3
2023-06-26,0,6,0,0,95,3
2023-06-27,1,6,0,0,93,3
2023-06-28,2,6,0,0,97,3
2023-06-29,3,6,0,0,94,3
2023-06-30,4,6,0,0,92,3
2023-07-01,5,7,1,0,110,3
2023-07-02,6,7,1,0,114,3
2023-07-03,0,7,0,0,97,3
2023-07-04,1,7,0,1,115,3
2023-07-05,2,7,0,0,95,3
2023-07-06,3,7,0,0,93,3
2023-07-07,4,7,0,0,97,3
2023-07-08,5,7,1,0,112,3
2023-07-09,6,7,1,0,116,3
2023-07-10,0,7,0,0,98,3
2023-07-11,1,7,0,0,96,3
2023-07-12,2,7,0,0,100,3
2023-07-13,3,7,0,0,97,3
2023-07-14,4,7,0,0,95,3
2023-07-15,5,7,1,0,113,3
2023-07-16,6,7,1,0,117,3
2023-07-17,0,7,0,0,99,3
2023-07-18,1,7,0,0,97,3
2023-07-19,2,7,0,0,101,3
2023-07-20,3,7,0,0,98,3
2023-07-21,4,7,0,0,96,3
2023-07-22,5,7,1,0,114,3
2023-07-23,6,7,1,0,118,3
2023-07-24,0,7,0,0,100,3
2023-07-25,1,7,0,0,98,3
2023-07-26,2,7,0,0,102,3
2023-07-27,3,7,0,0,99,3
2023-07-28,4,7,0,0,97,3
2023-07-29,5,7,1,0,115,3
2023-07-30,6,7,1,0,119,3
2023-07-31,0,7,0,0,101,3
2023-08-01,1,8,0,0,99,3
2023-08-02,2,8,0,0,103,3
2023-08-03,3,8,0,0,100,3
2023-08-04,4,8,0,0,98,3
2023-08-05,5,8,1,0,116,3
2023-08-06,6,8,1,0,120,3
2023-08-07,0,8,0,0,102,3
2023-08-08,1,8,0,0,100,3
2023-08-09,2,8,0,0,104,3
2023-08-10,3,8,0,0,101,3
2023-08-11,4,8,0,0,99,3
2023-08-12,5,8,1,0,117,3
2023-08-13,6,8,1,0,121,3
2023-08-14,0,8,0,0,103,3
2023-08-15,1,8,0,0,101,3
2023-08-16,2,8,0,0,105,3
2023-08-17,3,8,0,0,102,3
2023-08-18,4,8,0,0,100,3
2023-08-19,5,8,1,0,118,3
2023-08-20,6,8,1,0,122,3
2023-08-21,0,8,0,0,104,3
2023-08-22,1,8,0,0,102,3
2023-08-23,2,8,0,0,106,3
2023-08-24,3,8,0,0,103,3
2023-08-25,4,8,0,0,101,3
2023-08-26,5,8,1,0,119,3
2023-08-27,6,8,1,0,123,3
2023-08-28,0,8,0,0,105,3
2023-08-29,1,8,0,0,103,3
2023-08-30,2,8,0,0,107,3
2023-08-31,3,8,0,0,104,3
2023-09-01,4,9,0,0,98,4
